"Metabolite","Hyd","avg","Category"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HY.YEST.503_3",0.00198119028191266,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HyPep.7504_2",0.00783809140622809,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HyPep.7504_3",0.0137061612444349,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HyPep.YE_1",0.00332682949782251,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HyPep.YE_2",0.00531867597085878,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HyPep.YE_3",0.00471555747489613,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HyPep.7504_1",0.0124601926590555,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HyPep.YE_3",1.36527911320263e-07,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HY.YEST.412_2",1.31710324575274e-07,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HY.YEST.412_3",1.49370983824881e-07,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HY.YEST.466_2",1.42319825359648e-07,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HY.YEST.466_3",1.14472275810272e-07,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HY.YEST.503_1",1.30105127289401e-07,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HY.YEST.466_1",1.29085511711671e-07,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HyPep.7504_1",1.40571553865089e-07,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HyPep.7504_2",1.42237466999128e-07,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HyPep.7504_3",1.45549164866052e-07,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HyPep.YE_1",1.27631816297161e-07,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HyPep.YE_2",1.32777206708033e-07,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HY.YEST.412_1",1.26181984689237e-07,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HyPea.7404_3",1.43593562535145e-07,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HyPep.1510_1",0.268696307,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HyPep.1510_2",0.2689477315,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HyPep.1510_3",0.2391754475,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HyPep.1510_4",0.212531696,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HyPep.4601N_1",0.0084935905,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HY.YEST.503_2",1.42265870431201e-07,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HY.YEST.503_3",1.44932883691516e-07,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HY.YEST.555_1",1.21946042876273e-07,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HY.YEST.555_2",1.22435708867284e-07,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HY.YEST.555_3",1.38389863246564e-07,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HyPea.7404_1",1.14457598214113e-07,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HyPea.7404_2",0.000657937,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HyPep.4601N_2",1.29444524019887e-07,"Other"
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","HyPep.4601N_3",0.001494484,"Other"
"(2z)-4,6-dihydroxy-2-[(4-hydroxy-3,5-dimethoxyphenyl)methylidene]-1-benzofuran-3-one","HY.YEST.412_1",0.205159114,"Other"
"(2z)-4,6-dihydroxy-2-[(4-hydroxy-3,5-dimethoxyphenyl)methylidene]-1-benzofuran-3-one","HY.YEST.412_2",0.046744321,"Other"
"(2z)-4,6-dihydroxy-2-[(4-hydroxy-3,5-dimethoxyphenyl)methylidene]-1-benzofuran-3-one","HY.YEST.466_2",0.072761209,"Other"
"(2z)-4,6-dihydroxy-2-[(4-hydroxy-3,5-dimethoxyphenyl)methylidene]-1-benzofuran-3-one","HY.YEST.466_3",0.086023398,"Other"
"(2z)-4,6-dihydroxy-2-[(4-hydroxy-3,5-dimethoxyphenyl)methylidene]-1-benzofuran-3-one","HY.YEST.412_3",0.22696396,"Other"
"(2z)-4,6-dihydroxy-2-[(4-hydroxy-3,5-dimethoxyphenyl)methylidene]-1-benzofuran-3-one","HY.YEST.466_1",0.08352054,"Other"
"(2z)-4,6-dihydroxy-2-[(4-hydroxy-3,5-dimethoxyphenyl)methylidene]-1-benzofuran-3-one","HY.YEST.503_2",0.028907381,"Other"
"(2z)-4,6-dihydroxy-2-[(4-hydroxy-3,5-dimethoxyphenyl)methylidene]-1-benzofuran-3-one","HY.YEST.503_3",0.007984383,"Other"
"(2z)-4,6-dihydroxy-2-[(4-hydroxy-3,5-dimethoxyphenyl)methylidene]-1-benzofuran-3-one","HY.YEST.555_1",0.025389892,"Other"
"(2z)-4,6-dihydroxy-2-[(4-hydroxy-3,5-dimethoxyphenyl)methylidene]-1-benzofuran-3-one","HY.YEST.555_2",0.019805984,"Other"
"(2z)-4,6-dihydroxy-2-[(4-hydroxy-3,5-dimethoxyphenyl)methylidene]-1-benzofuran-3-one","HY.YEST.555_3",0.133727956,"Other"
"(2z)-4,6-dihydroxy-2-[(4-hydroxy-3,5-dimethoxyphenyl)methylidene]-1-benzofuran-3-one","HyPea.7404_1",1.22406783452362e-07,"Other"
